gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.03330326,20250904135909764,None,-1,1,1,3,1,0,0,0,1757008749764383077
0,0.033463955,20250904135909764,None,-1,-2,-2,-2,-5,1,0,-5,1757008749764532804
0,0.04047966,20250904135909771,None,1,-4,-4,-2,-3,-3,0,-1,1757008749771726608
0,0.040618181,20250904135909772,None,0,-1,-2,3,-3,-5,-4,0,1757008749771814823
0,0.048294305,20250904135909779,None,-4,1,-4,2,-2,0,1,0,1757008749779442787
0,0.048482179,20250904135909779,None,-2,-2,-2,-18,-4,1,0,-2,1757008749779571533
0,0.063067197,20250904135909794,None,3,-1,3,1,-4,-2,-3,-2,1757008749794315576
0,0.063163518,20250904135909794,None,1,0,1,1,3,0,2,3,1757008749794436454
0,0.070874691,20250904135909802,None,-1,-2,-3,-3,3,-1,0,-7,1757008749801792860
0,0.071001768,20250904135909802,None,-4,0,0,4,-5,4,-1,2,1757008749801995277
0,0.078247547,20250904135909809,None,1,-2,1,-1,0,-2,-2,1,1757008749809439182
0,0.078336477,20250904135909809,None,1,1,2,2,1,5,-5,-2,1757008749809577941
0,0.093327045,20250904135909824,None,-2,-3,-1,-3,1,-6,0,0,1757008749824520111
0,0.093421936,20250904135909824,None,-1,-1,-4,0,-1,-2,3,2,1757008749824662446
0,0.101097583,20250904135909832,None,-3,0,-3,-4,-4,0,-2,-1,1757008749832345962
0,0.101279497,20250904135909832,None,-1,-4,0,-2,0,1,1,0,1757008749832562685
0,0.109015703,20250904135909840,None,-2,1,-3,-1,-1,4,0,-1,1757008749839813947
0,0.109239816,20250904135909840,None,-1,-1,1,2,2,-3,-1,2,1757008749840026140
0,0.124088049,20250904135909855,None,0,0,-3,-1,-4,0,-2,-1,1757008749854822397
0,0.124300003,20250904135909855,None,-1,-2,1,3,0,6,4,-1,1757008749855026960
0,0.131445407,20250904135909862,None,0,-3,0,-2,-1,-2,0,0,1757008749862148046
0,0.131658315,20250904135909863,None,-2,-3,-1,-1,1,2,-5,-3,1757008749862372159
0,0.139076232,20250904135909870,None,-1,1,0,3,3,0,0,-1,1757008749869623899
0,0.139336109,20250904135909870,None,-1,-4,1,-7,-14,-4,-1,-2,1757008749869802236
0,0.1536839,20250904135909885,None,3,2,0,0,-2,-2,4,3,1757008749884528636
0,0.15413475,20250904135909885,None,-1,0,-1,-2,3,-1,-1,0,1757008749884685277
0,0.161127805,20250904135909892,None,-1,0,-2,2,-1,4,4,-2,1757008749891937255
0,0.161332845,20250904135909892,None,1,-4,3,4,0,-7,-2,2,1757008749892112016
0,0.168521165,20250904135909900,None,0,-1,-2,0,0,-4,-2,1,1757008749899416685
0,0.168754339,20250904135909900,None,-2,-5,-2,1,3,3,0,-4,1757008749899534225
0,0.183578491,20250904135909915,None,-4,-2,-3,-6,-11,-6,-3,1,1757008749914574146
0,0.1837399,20250904135909915,None,-1,-1,-2,-2,1,-2,2,0,1757008749914767503
0,0.191449403,20250904135909922,None,1,-1,-2,0,2,6,-5,-1,1757008749922201871
0,0.191655397,20250904135909923,None,0,-4,-1,-1,-5,-4,3,-2,1757008749922612905
0,0.198580265,20250904135909930,None,-4,-3,-1,5,3,-3,1,-5,1757008749929392337
0,0.198825836,20250904135909930,None,0,-2,-1,-4,0,2,1,-2,1757008749929510354
