gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.027518272,20250904135757773,None,-4,-1,-3,-1,1,1,0,-1,1757008677772967100
0,0.02772975,20250904135757773,None,6,0,1,1,0,6,-5,-1,1757008677773102998
0,0.034701347,20250904135757780,None,0,-3,-1,-2,1,-9,3,-1,1757008677780049324
0,0.034956932,20250904135757780,None,-2,-2,0,0,-1,-1,-4,-4,1757008677780236959
0,0.049853086,20250904135757795,None,-3,1,0,-4,1,0,1,-2,1757008677795131206
0,0.050085306,20250904135757795,None,8,3,-1,0,0,1,0,3,1757008677795355558
0,0.057040214,20250904135757802,None,-1,-3,-2,0,0,-3,-1,1,1757008677802504301
0,0.057161569,20250904135757802,None,-1,0,-1,-1,-2,-2,-3,-1,1757008677802633285
0,0.064239263,20250904135757809,None,-4,-2,-2,-4,1,3,4,3,1757008677809815406
0,0.064258814,20250904135757809,None,0,-2,-1,0,4,-2,-1,-3,1757008677809890985
0,0.079511642,20250904135757825,None,-1,2,0,0,-3,-6,0,1,1757008677824902057
0,0.079615116,20250904135757825,None,1,1,0,-3,-1,-1,0,-2,1757008677825041770
0,0.087043285,20250904135757832,None,-1,0,-1,-1,-1,2,-1,1,1757008677832524538
0,0.087126493,20250904135757832,None,-6,-2,-2,0,-1,-1,-2,-3,1757008677832689762
0,0.094372988,20250904135757840,None,7,2,0,0,-2,-3,-1,2,1757008677839918613
0,0.094565153,20250904135757840,None,-1,-3,0,0,-1,-3,-4,-1,1757008677840061664
0,0.109547853,20250904135757855,None,-3,-1,1,-1,1,6,2,-3,1757008677854954481
0,0.109641313,20250904135757855,None,-1,-2,-6,0,-1,2,-1,-2,1757008677855082273
0,0.116985321,20250904135757862,None,-3,-1,-3,-5,-1,-3,-6,-7,1757008677862435340
0,0.117076397,20250904135757862,None,-1,-1,-1,-1,2,9,3,1,1757008677862550020
0,0.13195467,20250904135757877,None,-4,-1,-1,-2,-1,-8,-4,0,1757008677877461910
0,0.132041216,20250904135757877,None,1,-3,2,1,1,-5,-1,-4,1757008677877579927
0,0.139772415,20250904135757885,None,0,-2,-3,1,-1,-1,-1,0,1757008677884924650
0,0.139961958,20250904135757885,None,-3,-1,1,-1,-1,2,-1,0,1757008677885036230
0,0.147101164,20250904135757892,None,-3,1,-5,-2,-3,-1,-3,-4,1757008677892406225
0,0.147295475,20250904135757893,None,1,0,-5,0,-2,4,5,-1,1757008677892509460
0,0.15466547,20250904135757900,None,-1,0,-1,-3,-1,-5,-7,-3,1757008677899878025
0,0.154841661,20250904135757900,None,-1,0,-1,-5,0,-2,1,-3,1757008677899976730
0,0.169849157,20250904135757915,None,-4,-4,-5,0,-2,3,-1,-1,1757008677914980411
0,0.170042753,20250904135757915,None,-1,0,-1,1,0,-6,-1,0,1757008677915142774
0,0.177156925,20250904135757922,None,-3,-1,-1,-3,-1,-4,-6,-3,1757008677922440290
0,0.177344322,20250904135757923,None,-3,-1,-4,-5,-5,2,5,-2,1757008677922547101
0,0.184694767,20250904135757930,None,-4,0,2,-1,-5,-3,-2,1,1757008677929978370
0,0.184897184,20250904135757930,None,0,-2,-3,2,-3,7,-4,0,1757008677930146217
0,0.199453831,20250904135757945,None,-1,2,-2,-2,3,-3,1,1,1757008677944919824
0,0.199595213,20250904135757945,None,1,1,1,-1,-6,1,0,-2,1757008677945031881
0,0.206887007,20250904135757952,None,-2,-1,2,0,-1,-1,-2,0,1757008677952423572
0,0.206977129,20250904135757952,None,-3,-2,1,-1,1,-3,-1,-5,1757008677952530622
0,0.214609623,20250904135757960,None,-5,-4,2,-1,-1,1,-1,3,1757008677960126399
0,0.214727163,20250904135757960,None,0,-1,-2,1,-1,-1,-4,-4,1757008677960310935
0,0.229673862,20250904135757975,None,11,1,-1,1,2,-4,-2,-3,1757008677975150585
0,0.229774952,20250904135757975,None,-1,1,-3,-1,2,4,-3,0,1757008677975363731
0,0.237145185,20250904135757982,None,-2,2,-3,-5,-1,-1,-1,3,1757008677982664585
0,0.237262487,20250904135757982,None,-4,0,1,-1,-1,-2,-3,-3,1757008677982862710
0,0.244684219,20250904135757990,None,-2,-1,0,0,-2,-1,-3,-1,1757008677990160942
0,0.244797945,20250904135757990,None,-1,-3,-1,-2,0,-2,1,1,1757008677990390777
0,0.259640932,20250904135758005,None,-4,-1,-4,-1,0,1,-2,-1,1757008678005110263
0,0.259716272,20250904135758005,None,-1,2,-2,0,1,2,-3,-3,1757008678005293369
0,0.267104626,20250904135758012,None,0,1,-4,-3,0,3,2,0,1757008678012593507
0,0.267217636,20250904135758012,None,1,0,-1,1,-3,-12,-4,-3,1757008678012806415
0,0.274649382,20250904135758020,None,-2,-1,1,-2,0,1,-4,-1,1757008678020136117
0,0.274782181,20250904135758020,None,-5,-2,-1,-3,0,9,0,2,1757008678020355939
0,0.290238857,20250904135758036,None,0,1,1,-1,-1,-8,1,2,1757008678035176277
0,0.290469885,20250904135758036,None,-6,-1,-4,-1,0,-2,-2,0,1757008678035386323
0,0.297883034,20250904135758043,None,0,-1,0,2,-1,0,-1,-4,1757008678042746067
0,0.298184156,20250904135758043,None,-4,3,0,-1,-4,1,0,3,1757008678042937278
0,0.30529046,20250904135758051,None,-2,-2,-3,-1,-1,1,0,-2,1757008678050309896
0,0.305532694,20250904135758051,None,-3,-2,2,-2,-1,2,3,-2,1757008678050490617
0,0.32062602,20250904135758066,None,2,-5,-1,-4,1,-3,-6,-4,1757008678065303087
0,0.320841551,20250904135758066,None,-4,-1,-1,-1,-2,-2,-4,-1,1757008678065700531
0,0.327759266,20250904135758073,None,5,1,-1,-1,-3,-1,-1,-1,1757008678072757005
0,0.327978611,20250904135758073,None,-2,-3,-1,1,1,3,2,-3,1757008678072923183
0,0.335092544,20250904135758080,None,2,0,3,-1,-1,3,0,2,1757008678080137252
0,0.335292101,20250904135758081,None,-2,-2,-1,-1,-2,-3,8,-3,1757008678080276012
0,0.349994659,20250904135758095,None,0,0,-2,1,0,-5,2,-4,1757008678095078468
0,0.350192308,20250904135758096,None,0,1,1,1,-2,1,-4,-2,1757008678095210075
0,0.357475519,20250904135758103,None,1,1,0,2,-1,0,1,0,1757008678102570295
0,0.35788846,20250904135758103,None,-3,-2,-2,2,0,-5,-3,3,1757008678102676153
0,0.364859342,20250904135758110,None,6,2,1,0,-5,-2,0,-3,1757008678110063552
0,0.364999533,20250904135758110,None,-1,-2,1,-4,-3,-3,-12,-5,1757008678110185384
0,0.380013943,20250904135758125,None,0,-1,-1,-2,-1,1,9,-1,1757008678125161647
0,0.380176306,20250904135758125,None,-1,0,-3,-4,-1,0,4,3,1757008678125346899
0,0.38727498,20250904135758133,None,-1,2,-2,3,0,-3,-3,-6,1757008678132562875
0,0.387394905,20250904135758133,None,-3,-3,-3,-1,0,4,-2,-1,1757008678132699966
0,0.39504075,20250904135758140,None,-7,-1,-2,1,0,3,-4,-2,1757008678140060901
0,0.39529109,20250904135758141,None,4,0,0,0,-6,-9,2,1,1757008678140196084
0,0.409860134,20250904135758155,None,-3,1,2,2,-1,-5,-8,-1,1757008678155120372
0,0.410026073,20250904135758155,None,1,-1,2,0,1,1,-1,2,1757008678155257940
0,0.417287111,20250904135758163,None,0,-4,-1,-3,-1,4,0,-1,1757008678162604570
0,0.417399406,20250904135758163,None,0,-3,3,1,-1,-5,-4,-6,1757008678162739038
0,0.424753189,20250904135758170,None,3,-2,1,-1,-2,-3,0,0,1757008678170060396
0,0.424852609,20250904135758170,None,0,-1,-1,-3,-3,-1,0,-3,1757008678170179843
0,0.439824819,20250904135758185,None,-1,-1,1,-2,0,3,-2,-2,1757008678185115575
0,0.439968109,20250904135758185,None,-4,-1,-4,-1,-2,-2,0,4,1757008678185258865
0,0.447231054,20250904135758192,None,-3,-2,-1,-1,2,8,-1,1,1757008678192550420
0,0.447343349,20250904135758193,None,-7,-4,-1,-3,1,-4,4,-2,1757008678192679882
0,0.454707384,20250904135758200,None,4,-2,-4,-1,1,-1,-7,-1,1757008678200042486
0,0.454805374,20250904135758200,None,-1,2,0,-1,-1,-1,-1,0,1757008678200153350
0,0.469823599,20250904135758215,None,0,1,1,6,2,-1,-3,-1,1757008678215123414
0,0.469944954,20250904135758215,None,-3,0,-2,2,2,1,2,1,1757008678215253829
0,0.477188825,20250904135758222,None,-3,3,-2,-2,-1,3,-1,-1,1757008678222568511
0,0.477295399,20250904135758223,None,2,-2,-1,1,-3,-4,0,3,1757008678222680330
0,0.484578371,20250904135758230,None,2,-2,-2,-2,0,1,-2,0,1757008678230022668
0,0.484672785,20250904135758230,None,-4,-4,-1,-2,0,-2,1,-1,1757008678230138540
0,0.499837637,20250904135758245,None,3,1,0,-1,-3,-8,-2,-3,1757008678245112419
0,0.499956608,20250904135758245,None,5,-2,3,2,0,3,-4,0,1757008678245252847
0,0.507229328,20250904135758252,None,-3,-2,-1,-1,1,4,2,-1,1757008678252572298
0,0.507335424,20250904135758253,None,-5,-1,-1,-2,-1,0,-6,-2,1757008678252696275
0,0.514852524,20250904135758260,None,0,-2,-1,-3,0,-1,4,2,1757008678260121583
0,0.514985323,20250904135758260,None,2,-1,-2,0,1,6,3,1,1757008678260268688
0,0.529937506,20250904135758275,None,-4,-2,-1,-4,-4,-1,0,3,1757008678275159835
0,0.53006053,20250904135758275,None,-4,1,-4,-3,-4,-3,-3,-2,1757008678275330543
0,0.537264109,20250904135758283,None,2,2,-3,-2,-4,3,0,-2,1757008678282612323
0,0.53739357,20250904135758283,None,0,-1,-2,1,-3,-7,-8,1,1757008678282733201
0,0.545100212,20250904135758290,None,-1,-3,0,-3,0,0,10,1,1757008678290298223
0,0.545236111,20250904135758290,None,2,1,-2,0,3,3,-1,-1,1757008678290478944
0,0.559957743,20250904135758305,None,-4,-4,-2,1,1,-6,-1,-2,1757008678305153608
0,0.560095548,20250904135758305,None,0,-2,1,0,-4,-2,-1,-3,1757008678305334568
0,0.567256212,20250904135758312,None,-4,0,-3,-3,3,-2,-1,0,1757008678312573671
0,0.56736207,20250904135758313,None,3,-1,-1,-3,-1,0,1,2,1757008678312706708
0,0.574728727,20250904135758320,None,-2,-1,1,0,-2,1,0,0,1757008678320042610
0,0.574859381,20250904135758320,None,-3,0,-2,-5,-6,0,-3,1,1757008678320172071
0,0.589860678,20250904135758335,None,1,1,-3,-1,-1,0,3,5,1757008678335145235
0,0.589990616,20250904135758335,None,-5,-4,-2,0,-5,-1,-3,-3,1757008678335257530
0,0.597311258,20250904135758343,None,-1,0,-1,-4,-1,0,2,0,1757008678342611789
0,0.597448587,20250904135758343,None,-3,-4,-7,-2,0,-4,-7,2,1757008678342755794
0,0.604784965,20250904135758350,None,-1,-2,0,1,-2,-1,-1,-3,1757008678350112438
0,0.604895115,20250904135758350,None,-1,-2,0,0,1,0,-1,-1,1757008678350255012
0,0.619820118,20250904135758365,None,3,-2,-3,0,0,2,3,1,1757008678365110635
0,0.619946003,20250904135758365,None,-3,-2,-1,-2,0,2,-2,-4,1757008678365257740
0,0.627243757,20250904135758372,None,0,0,2,1,1,-4,-5,1,1757008678372571468
0,0.627354145,20250904135758373,None,-2,0,0,1,-2,-2,-2,0,1757008678372699975
0,0.634818792,20250904135758380,None,-1,-1,-4,1,-2,0,4,2,1757008678380100250
0,0.634928226,20250904135758380,None,-2,0,-4,-1,-1,2,2,-1,1757008678380255222
0,0.649802446,20250904135758395,None,-1,-3,-2,-2,-2,-2,1,0,1757008678395116090
0,0.649932861,20250904135758395,None,0,1,-2,1,2,1,-5,-2,1757008678395253658
0,0.657184362,20250904135758402,None,-3,-2,-1,-2,-6,-6,-1,-4,1757008678402562141
0,0.657306909,20250904135758403,None,-3,-1,3,1,-1,4,3,2,1757008678402674913
0,0.664797783,20250904135758410,None,0,-3,1,-3,0,1,-2,1,1757008678410081624
0,0.664912701,20250904135758410,None,4,1,0,0,1,-3,-2,-4,1757008678410208463
0,0.68026042,20250904135758426,None,-5,-2,-1,-1,1,5,-3,0,1757008678425305604
0,0.680440426,20250904135758426,None,8,3,-1,-3,1,-13,-2,-2,1757008678425482511
0,0.687353372,20250904135758433,None,-2,0,1,1,-2,-1,3,1,1757008678432626247
0,0.687475443,20250904135758433,None,-1,-1,-2,-1,-1,2,1,-2,1757008678432791709
0,0.694987535,20250904135758440,None,-8,-2,0,-1,-1,1,-1,1,1757008678440271139
0,0.695131063,20250904135758440,None,0,1,1,0,1,6,2,0,1757008678440425395
0,0.709795236,20250904135758455,None,-3,-1,2,-3,0,-2,-2,-1,1757008678455125331
0,0.709896564,20250904135758455,None,-1,-3,-1,4,-1,-2,-5,-2,1757008678455257177
0,0.717268944,20250904135758463,None,3,-1,0,1,2,-2,3,2,1757008678462596893
0,0.717379093,20250904135758463,None,2,2,-3,-3,-3,0,-10,-1,1757008678462734699
0,0.732342005,20250904135758478,None,1,-3,3,0,1,-1,1,-3,1757008678477618217
0,0.732476234,20250904135758478,None,2,0,3,-4,-2,-3,0,2,1757008678477756261
0,0.739793777,20250904135758485,None,0,-2,-1,-2,-3,2,1,-3,1757008678485091924
0,0.740003347,20250904135758485,None,-7,-4,-2,0,-1,-2,-3,0,1757008678485221147
0,0.747298956,20250904135758493,None,-1,0,-1,-1,1,-1,-3,0,1757008678492582321
0,0.747415542,20250904135758493,None,-3,1,0,-1,1,2,-1,3,1757008678492724418
0,0.762621879,20250904135758508,None,-1,-1,-1,-2,-4,-2,1,-4,1757008678507678031
0,0.762789488,20250904135758508,None,-2,0,-3,-2,-1,-5,-5,1,1757008678508040904
0,0.769537449,20250904135758515,None,-1,-1,-1,-2,-2,-3,-3,-4,1757008678515084505
0,0.769617081,20250904135758515,None,-2,-1,-4,-2,0,-4,1,-4,1757008678515208005
0,0.77714014,20250904135758522,None,0,0,-1,-1,-2,1,-1,0,1757008678522639036
0,0.777235269,20250904135758522,None,-3,-1,-1,-4,-2,3,-3,-3,1757008678522779703
0,0.792157173,20250904135758537,None,1,1,-2,3,0,2,-3,-1,1757008678537617444
0,0.792240143,20250904135758537,None,-1,-2,-2,-2,-1,-1,2,0,1757008678537778139
0,0.799520969,20250904135758545,None,-7,-1,1,-1,-1,2,4,2,1757008678545055627
0,0.799602032,20250904135758545,None,0,-1,-1,-2,2,4,-1,1,1757008678545186996
0,0.807078838,20250904135758552,None,2,2,-4,1,1,-9,-2,-1,1757008678552593469
0,0.807154655,20250904135758552,None,-1,-3,0,0,1,-3,-3,0,1757008678552752733
0,0.822163105,20250904135758567,None,-4,-3,-1,-3,-3,1,-3,-4,1757008678567660808
0,0.822322607,20250904135758568,None,-4,-3,0,1,-1,3,-1,1,1757008678567924499
0,0.830149412,20250904135758575,None,-2,-2,-4,-3,1,-10,-2,-4,1757008678575329065
0,0.830324411,20250904135758576,None,-2,-2,-1,-2,-1,-1,-2,1,1757008678575514316
0,0.837431192,20250904135758583,None,3,-2,-1,-3,-1,-1,0,1,1757008678582765340
0,0.837545633,20250904135758583,None,0,1,-4,0,-2,2,-1,2,1757008678582947015
0,0.851867676,20250904135758597,None,-1,5,0,4,-2,-2,-5,0,1757008678597453594
0,0.851918697,20250904135758597,None,-10,-2,-4,-2,0,2,-1,-2,1757008678597575187
0,0.859219551,20250904135758604,None,3,1,-3,-2,0,3,-4,3,1757008678604837179
0,0.859250069,20250904135758604,None,0,-2,1,0,-2,-1,3,-1,1757008678604919433
0,0.866813898,20250904135758612,None,1,-2,1,-1,-1,-5,-3,1,1757008678612435817
0,0.866840601,20250904135758612,None,-4,-1,-2,4,0,0,3,-1,1757008678612514972
0,0.882426023,20250904135758628,None,-1,0,1,-3,2,3,-1,-1,1757008678627697944
0,0.882621288,20250904135758628,None,0,0,-1,-1,-3,-6,-4,-4,1757008678628012657
0,0.890066862,20250904135758635,None,-2,2,-2,0,-1,-1,1,-2,1757008678635317087
0,0.890153169,20250904135758635,None,-4,-1,0,0,1,2,0,2,1757008678635496139
0,0.897395134,20250904135758643,None,-2,0,-2,-2,-1,0,1,1,1757008678642589330
0,0.897577047,20250904135758643,None,-8,-2,0,-1,5,-2,0,-1,1757008678642713308
0,0.912835359,20250904135758658,None,5,-1,-1,-2,-6,0,4,-1,1757008678657775402
0,0.913116932,20250904135758658,None,-8,-1,-3,-3,-1,-3,-9,3,1757008678657977819
0,0.919901848,20250904135758665,None,3,-2,2,5,0,-5,-6,-3,1757008678665167808
0,0.920042515,20250904135758665,None,-2,-2,0,0,1,2,-2,1,1757008678665354251
0,0.927721023,20250904135758673,None,-6,0,0,-3,-3,-6,1,0,1757008678672801494
0,0.927903414,20250904135758673,None,0,-1,0,1,-1,4,5,3,1757008678672995567
0,0.942929029,20250904135758688,None,0,-1,0,-2,-1,-2,-5,-5,1757008678687944173
0,0.943160295,20250904135758688,None,4,-4,-4,-2,-3,0,4,0,1757008678688155412
0,0.950153112,20250904135758695,None,-2,0,-1,1,-1,4,-4,-1,1757008678695327997
0,0.950314998,20250904135758696,None,1,0,0,1,-3,1,0,-1,1757008678695502519
0,0.95795536,20250904135758703,None,-2,-3,-2,-4,0,1,-3,0,1757008678702921390
0,0.958174705,20250904135758703,None,1,1,-2,0,1,-6,0,-1,1757008678703140020
0,0.973268032,20250904135758719,None,2,-3,1,1,-2,2,1,-2,1757008678718057155
0,0.973595142,20250904135758719,None,-1,-3,-4,-4,-2,2,1,3,1757008678718312978
0,0.98012352,20250904135758725,None,-1,2,-2,0,0,-1,-1,0,1757008678725275278
0,0.980285644,20250904135758726,None,-2,0,2,2,0,2,0,2,1757008678725466012
0,0.987986326,20250904135758733,None,-4,0,0,0,-1,-1,-1,-3,1757008678732972383
0,0.988173246,20250904135758733,None,4,2,-1,-3,-1,2,1,-2,1757008678733181715
0,1.002937794,20250904135758748,None,0,1,0,-3,0,-1,-2,0,1757008678748020648
0,1.003132582,20250904135758748,None,-1,-3,0,0,1,0,-1,1,1757008678748270511
0,1.009834051,20250904135758755,None,-1,-2,2,1,-2,-1,-1,1,1757008678755094051
0,1.009997845,20250904135758755,None,-5,-2,-1,0,-3,-7,0,-3,1757008678755250930
0,1.017266512,20250904135758763,None,-1,1,-3,-1,-1,-5,-4,-2,1757008678762579917
0,1.017462492,20250904135758763,None,-1,-3,-1,-1,0,4,-1,-3,1757008678762687444
0,1.032492161,20250904135758778,None,-3,3,-1,-2,0,5,2,0,1757008678777652025
0,1.032743931,20250904135758778,None,-7,-1,2,-3,0,-1,-4,-2,1757008678777806282
0,1.039822817,20250904135758785,None,6,3,1,-1,1,2,-2,-1,1757008678785090446
0,1.040040254,20250904135758785,None,-2,-1,-4,-2,-2,-2,-2,-2,1757008678785196542
0,1.047479391,20250904135758793,None,-5,-3,1,1,-2,-2,3,0,1757008678792597532
0,1.04766798,20250904135758793,None,1,1,-2,-4,1,1,2,-2,1757008678792745113
0,1.062995911,20250904135758808,None,1,1,0,1,-1,-4,-8,0,1757008678807817697
0,1.063249111,20250904135758808,None,1,2,-2,1,1,0,-1,0,1757008678807965993
0,1.069835424,20250904135758815,None,-3,-3,0,1,0,3,2,-3,1757008678815028190
0,1.070002317,20250904135758815,None,-2,-5,-3,-1,0,3,1,1,1757008678815123081
0,1.077381372,20250904135758823,None,0,-1,-2,-1,0,0,-2,1,1757008678822672843
0,1.077522278,20250904135758823,None,-2,0,-2,-2,-4,-1,-5,0,1757008678822809696
0,1.092852831,20250904135758838,None,-3,-5,-1,-2,-2,0,0,-4,1757008678837849617
0,1.093045711,20250904135758838,None,4,-1,0,-1,0,-2,-1,-3,1757008678838041305
0,1.099921226,20250904135758845,None,1,-1,0,0,2,-1,-2,-1,1757008678845154047
0,1.100050449,20250904135758845,None,-5,-3,-3,0,-2,4,-5,-3,1757008678845337390
0,1.10726428,20250904135758853,None,3,1,-2,-1,-1,-9,1,0,1757008678852596044
0,1.107370853,20250904135758853,None,-4,1,3,-2,0,-7,-3,-5,1757008678852725982
0,1.122443676,20250904135758868,None,-1,-2,-3,-1,-2,5,5,1,1757008678867772817
0,1.122606516,20250904135758868,None,-1,-3,0,3,2,4,4,2,1757008678867959499
0,1.129864931,20250904135758875,None,-4,-3,0,-1,-2,1,1,-2,1757008678875132560
0,1.129989385,20250904135758875,None,-2,-2,1,-3,2,-5,-5,5,1757008678875259637
