gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.033158541,20250904135256095,None,0,-4,-4,-3,-4,0,-1,0,1757008376094702482
0,0.033313275,20250904135256095,None,0,11,3,-3,0,0,-1,-2,1757008376094833612
0,0.040457488,20250904135256102,None,2,3,-3,2,-4,-2,1,-2,1757008376102138042
0,0.040593386,20250904135256102,None,-1,-13,0,0,1,0,1,-1,1757008376102189779
0,0.055769921,20250904135256117,None,3,-2,1,-1,-1,0,-2,-3,1757008376117337703
0,0.055916548,20250904135256117,None,-4,1,0,0,-1,0,-2,-2,1757008376117474555
0,0.06290412,20250904135256124,None,2,-3,1,0,-1,-4,0,0,1757008376124663114
0,0.063000918,20250904135256124,None,0,0,-3,-1,-3,-1,1,0,1757008376124744415
0,0.070678711,20250904135256132,None,1,-17,-3,0,0,-3,0,5,1757008376132142305
0,0.070798159,20250904135256132,None,0,24,1,-1,-3,0,3,-5,1757008376132243156
0,0.085699797,20250904135256147,None,2,-11,-7,6,-1,1,2,2,1757008376147254228
0,0.085810423,20250904135256147,None,-2,3,8,-8,-1,0,-5,-2,1757008376147399425
0,0.101022006,20250904135256162,None,2,2,-1,-1,-4,-2,-5,2,1757008376162521839
0,0.101211787,20250904135256163,None,-1,-22,-6,-5,1,-4,1,-1,1757008376162725687
0,0.10831213,20250904135256170,None,0,26,5,0,-1,-3,-2,-3,1757008376169888019
0,0.108566523,20250904135256170,None,3,-11,-4,-2,-2,-1,-2,-1,1757008376170049428
0,0.115710736,20250904135256177,None,-2,-10,-8,1,0,1,-2,-1,1757008376177339792
0,0.115844489,20250904135256177,None,-2,3,1,1,-1,-3,4,4,1757008376177495956
0,0.123366833,20250904135256185,None,0,6,0,-1,1,3,-2,-5,1757008376184878110
0,0.123535395,20250904135256185,None,-4,-3,-1,0,-4,-2,-3,-3,1757008376185036659
0,0.138508082,20250904135256200,None,0,-1,-4,3,-2,-2,-1,0,1757008376199893236
0,0.138707638,20250904135256200,None,-3,-2,1,-1,1,-1,-1,0,1757008376200081586
0,0.145705462,20250904135256207,None,2,2,-3,-3,-3,1,-2,2,1757008376207338571
0,0.145867348,20250904135256207,None,-1,-8,-2,0,0,1,-2,-4,1757008376207528114
0,0.15328908,20250904135256215,None,0,-2,-9,-1,-1,-3,-3,-7,1757008376214840173
0,0.153457404,20250904135256215,None,0,-5,-4,-4,0,-2,-1,-3,1757008376214997529
0,0.168582678,20250904135256230,None,-1,-8,-2,1,2,1,-1,-2,1757008376229960918
0,0.168868542,20250904135256230,None,0,17,2,-3,-2,-4,-1,-1,1757008376230128049
0,0.176209927,20250904135256238,None,-2,-8,-2,-1,-1,0,0,-2,1757008376237421751
0,0.176542521,20250904135256238,None,-2,-4,-7,-6,2,2,2,2,1757008376237609148
0,0.183315516,20250904135256245,None,-3,1,2,2,-3,-3,0,-2,1757008376244830131
0,0.183653594,20250904135256245,None,-1,-6,-1,0,-1,-3,4,1,1757008376244979143
