gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.03095746,20250904135128398,None,-4,-3,0,-1,-6,-2,-3,-2,1757008288397985219
0,0.031108379,20250904135128398,None,2,-2,0,5,-1,2,-2,-5,1757008288398111581
0,0.038222075,20250904135128405,None,-4,-3,-2,-11,-3,-5,-3,0,1757008288405434846
0,0.038376331,20250904135128405,None,-3,-4,0,1,5,0,3,-6,1757008288405544281
0,0.045926094,20250904135128413,None,1,-3,-1,0,2,1,4,-1,1757008288412983655
0,0.046097755,20250904135128413,None,-6,-2,-1,-2,-3,0,-4,-3,1757008288413141250
0,0.060872078,20250904135128428,None,1,1,-1,-3,0,0,0,1,1757008288427976846
0,0.061020613,20250904135128428,None,-3,0,2,0,-1,0,-1,0,1757008288428116559
0,0.068043947,20250904135128435,None,-2,1,0,2,0,-4,0,-1,1757008288435353279
0,0.068095207,20250904135128435,None,1,-3,-1,-2,-3,-4,-2,-1,1757008288435456037
0,0.075911284,20250904135128443,None,-1,-2,1,-1,1,4,5,2,1757008288443038940
0,0.075988293,20250904135128443,None,-1,-3,0,-4,-2,3,-5,-9,1757008288443242549
0,0.090878725,20250904135128458,None,-4,-3,-2,1,-1,-1,1,-4,1757008288458067655
0,0.090959072,20250904135128458,None,2,0,-3,2,1,1,6,1,1757008288458246707
0,0.09828639,20250904135128465,None,-2,-3,0,0,4,-7,-8,-2,1757008288465537309
0,0.098432779,20250904135128465,None,-2,-2,-3,-6,0,28,1,-2,1757008288465691089
0,0.105870485,20250904135128473,None,-5,-2,1,15,0,-29,-2,-3,1757008288473057270
0,0.105949879,20250904135128473,None,-9,-2,-1,-9,0,16,8,0,1757008288473222970
0,0.120827198,20250904135128488,None,-4,0,-3,1,-1,-3,-6,-1,1757008288487988233
0,0.120923758,20250904135128488,None,2,-1,-1,0,-2,-2,-13,-3,1757008288488149404
0,0.128326178,20250904135128495,None,0,-2,0,-2,-2,5,4,-1,1757008288495541095
0,0.128543377,20250904135128496,None,0,-1,0,8,8,2,-1,-5,1757008288495852947
0,0.135752916,20250904135128503,None,-2,6,0,6,-5,-4,-2,2,1757008288502985954
0,0.135858774,20250904135128503,None,-4,-5,-3,-7,-3,-3,2,-1,1757008288503140211
0,0.150912285,20250904135128518,None,-1,1,-1,-2,-2,1,-5,-3,1757008288518150091
0,0.150994062,20250904135128518,None,6,-3,0,3,2,-6,-1,5,1757008288518283605
0,0.158438921,20250904135128525,None,1,0,0,3,1,0,2,-2,1757008288525701522
0,0.158552408,20250904135128526,None,1,-3,0,-3,-1,7,4,6,1757008288525829315
0,0.165699959,20250904135128533,None,12,-1,-2,-4,-7,-12,-7,-8,1757008288532980918
0,0.165792465,20250904135128533,None,-2,-1,-3,1,3,-6,-2,-5,1757008288533106803
0,0.181334734,20250904135128548,None,2,1,1,-1,-15,-5,0,3,1757008288548072814
