gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.028610707,20250904135428337,None,2,2,-1,0,-1,0,3,4,1757008468336717367
0,0.028765917,20250904135428337,None,0,-1,-2,0,-2,-3,-1,-1,1757008468336882352
0,0.043532372,20250904135428352,None,-2,0,1,-1,-1,2,-3,1,1757008468351626634
0,0.043688774,20250904135428352,None,0,1,-5,0,2,-9,-8,4,1757008468351804733
0,0.051033497,20250904135428359,None,5,4,-2,-3,-1,-6,-1,-4,1757008468359118223
0,0.05116868,20250904135428359,None,1,-1,-1,-3,5,11,10,1,1757008468359251260
0,0.058486224,20250904135428366,None,-3,-2,-3,-3,-11,36,-6,-2,1757008468366595983
0,0.058628083,20250904135428367,None,-14,0,-5,-4,0,-5,-9,-5,1757008468366755247
0,0.073477269,20250904135428381,None,6,1,-1,2,-5,-2,-2,-5,1757008468381578922
0,0.073586226,20250904135428382,None,3,0,1,0,-2,2,1,2,1757008468381747722
0,0.080904246,20250904135428389,None,-1,5,-1,-5,0,1,-2,-4,1757008468389015197
0,0.080976725,20250904135428389,None,-5,0,0,5,7,6,5,-2,1757008468389140129
0,0.088178397,20250904135428396,None,-4,-4,0,-16,-26,-1,7,-1,1757008468396423578
0,0.088316918,20250904135428396,None,5,4,4,3,2,0,-3,2,1757008468396520853
0,0.103980065,20250904135428412,None,0,2,0,-1,2,-2,0,3,1757008468411804676
0,0.104230404,20250904135428412,None,4,-2,-1,0,-1,-5,-3,-3,1757008468411983728
0,0.111979962,20250904135428420,None,0,2,-1,-1,2,3,3,-1,1757008468419396400
0,0.112545252,20250904135428421,None,9,-3,-1,3,-1,1,6,11,1757008468419591426
0,0.118897438,20250904135428427,None,-7,-2,-2,-1,0,3,8,-1,1757008468426736831
0,0.119122744,20250904135428427,None,4,1,-1,0,0,-4,-7,3,1757008468426915645
0,0.134232283,20250904135428442,None,-11,-2,0,0,-2,-8,-6,-7,1757008468442062616
0,0.134453059,20250904135428442,None,0,-1,-3,-1,-1,-3,-8,0,1757008468442272424
0,0.141599417,20250904135428450,None,-1,1,0,0,-3,2,3,1,1757008468449377775
0,0.141863823,20250904135428450,None,0,-2,1,-1,2,2,4,-4,1757008468449569940
0,0.156685829,20250904135428465,None,-3,3,0,-1,3,1,1,-1,1757008468464507341
0,0.157154084,20250904135428465,None,-2,0,0,-2,1,-2,-2,0,1757008468464676380
0,0.163852692,20250904135428472,None,-1,-4,-1,-2,3,-3,-1,2,1757008468471724510
0,0.164017201,20250904135428472,None,-10,-2,0,-1,-3,1,1,-2,1757008468471866130
0,0.171445847,20250904135428479,None,7,-2,-2,3,-1,1,0,0,1757008468479316711
0,0.17163539,20250904135428480,None,2,-3,4,2,3,0,-1,-2,1757008468479470491
0,0.179002285,20250904135428487,None,-6,0,-4,-9,-5,-1,1,-2,1757008468486747741
0,0.179193735,20250904135428487,None,-8,-4,-1,0,19,1,-3,-2,1757008468486894607
0,0.194268704,20250904135428502,None,-1,-1,-3,1,-7,1,1,-1,1757008468501887321
0,0.194539547,20250904135428502,None,2,-2,0,-2,-3,6,1,-3,1757008468502071619
0,0.201556206,20250904135428510,None,-4,-4,-1,2,0,-10,3,1,1757008468509365558
