gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,futek
0,0.040067434,20250904111700820,None,4769,1,0,0,-1,-1,-1,-3,-3,1756999020820517301,
0,0.040191889,20250904111700820,None,4769,-3,-1,3,-1,-2,0,-1,-1,1756999020820638418,
0,0.041165113,20250904111700821,None,4769,1,1,0,-4,-1,-3,-5,-3,1756999020821533918,9.04286003112793
0,0.041314125,20250904111700822,None,4769,-3,-3,0,1,-1,0,-2,0,1756999020821829557,9.04286003112793
0,0.046921968,20250904111700827,None,4769,1,-1,0,-3,0,-2,-2,0,1756999020827354907,9.04286003112793
0,0.047079325,20250904111700827,None,4769,1,1,-1,-3,0,1,0,1,1756999020827470064,9.04286003112793
0,0.061990976,20250904111700842,None,4766,0,-3,-2,-2,0,-1,-2,-3,1756999020842429161,6.425189971923828
0,0.062143087,20250904111700842,None,4766,-5,-1,1,3,0,0,1,-1,1756999020842562675,6.425189971923828
0,0.06932497,20250904111700850,None,4765,0,-2,1,-4,-3,-2,-3,-1,1756999020849853038,14.75413990020752
0,0.069414616,20250904111700850,None,4765,-2,-2,-3,-2,-3,-5,-1,-1,1756999020849961280,14.75413990020752
0,0.076853275,20250904111700857,None,4764,0,-1,-1,0,-1,0,1,0,1756999020857383251,14.75413990020752
0,0.07696557,20250904111700857,None,4764,-2,-2,1,-1,-1,-3,0,-2,1756999020857492923,14.75413990020752
0,0.091714144,20250904111700872,None,4763,2,0,-1,3,4,-3,0,0,1756999020872279882,14.75413990020752
0,0.091789961,20250904111700872,None,4763,-1,-2,-1,-1,1,1,-1,0,1756999020872377157,14.75413990020752
0,0.099248409,20250904111700879,None,4762,-1,1,-1,-1,0,-5,-2,-1,1756999020879704475,8.328949928283691
0,0.099308729,20250904111700880,None,4762,-2,0,0,1,-1,0,1,2,1756999020879783868,8.328949928283691
0,0.106833458,20250904111700887,None,4761,-2,4,0,-4,-2,-3,-1,-2,1756999020887343883,11.660530090332031
0,0.106930017,20250904111700887,None,4761,1,-1,-2,1,0,1,-1,0,1756999020887454271,11.660530090332031
0,0.122211695,20250904111700902,None,4760,3,-1,-2,-2,-4,-3,-3,0,1756999020902553796,10.708649635314941
0,0.122358084,20250904111700903,None,4760,3,-2,-2,0,2,0,3,5,1756999020902703762,10.708649635314941
0,0.129496336,20250904111700910,None,4759,-1,-2,1,0,1,-1,-1,0,1756999020909909725,8.804889678955078
0,0.129640818,20250904111700910,None,4759,-2,-3,-1,-4,-3,1,-4,-4,1756999020910023450,8.804889678955078
0,0.144550085,20250904111700925,None,4756,-3,-2,-2,-1,-3,-2,-5,-1,1756999020924932003,6.425189971923828
0,0.144686222,20250904111700925,None,4756,1,3,0,-2,-1,-4,0,-1,1756999020925068140,6.425189971923828
0,0.151869774,20250904111700932,None,4755,-1,1,2,0,1,1,0,-1,1756999020932368278,6.425189971923828
0,0.151985168,20250904111700932,None,4755,0,-2,-2,0,0,0,2,0,1756999020932496309,6.425189971923828
0,0.159589767,20250904111700940,None,4754,-1,-1,-1,-2,-2,-4,-2,1,1756999020939977645,14.75413990020752
0,0.159711838,20250904111700940,None,4754,1,1,3,-1,2,-2,1,-2,1756999020940142154,14.75413990020752
0,0.166960239,20250904111700947,None,4754,-1,-2,0,-1,3,-1,-1,-2,1756999020947376728,5.949249744415283
0,0.167129993,20250904111700947,None,4754,-3,0,2,0,0,-2,1,0,1756999020947493314,5.949249744415283
0,0.182316065,20250904111700963,None,4752,0,1,-2,1,1,0,-3,0,1756999020962440490,7.8530097007751465
0,0.182540178,20250904111700963,None,4752,3,2,-1,-2,-1,0,-1,-3,1756999020962595939,7.8530097007751465
0,0.189679384,20250904111700970,None,4751,-4,1,1,0,-3,-2,4,1,1756999020969911813,12.136469841003418
0,0.189876318,20250904111700970,None,4751,2,-2,-1,-4,-1,1,0,-1,1756999020970030069,12.136469841003418
0,0.197418928,20250904111700978,None,4750,-3,-1,-1,0,4,-2,-2,-1,1756999020977569818,10.232709884643555
0,0.197638988,20250904111700978,None,4750,1,-3,-2,-3,-3,-1,-2,-1,1756999020977746725,10.232709884643555
0,0.212835789,20250904111700993,None,4749,-1,-2,2,1,-2,1,0,-1,1756999020992903709,9.280829429626465
0,0.213073969,20250904111700993,None,4749,-1,0,-2,-1,-2,0,-2,-1,1756999020993181705,9.280829429626465
0,0.21990633,20250904111701000,None,4747,-3,-3,-3,0,-2,-1,0,-5,1756999020999907493,12.850379943847656
0,0.220139265,20250904111701000,None,4747,0,-1,-2,0,-3,-3,-3,-1,1756999021000051021,12.850379943847656
0,0.227369547,20250904111701008,None,4746,-4,0,0,2,0,0,0,1,1756999021007416725,6.6631598472595215
0,0.227626562,20250904111701008,None,4746,1,-3,-2,1,0,-2,-4,-1,1756999021007533788,6.6631598472595215
0,0.242442131,20250904111701023,None,4745,-1,-1,0,-1,-2,2,3,1,1756999021022452831,14.75413990020752
0,0.24291873,20250904111701023,None,4744,-2,0,-4,2,-1,-1,-2,-1,1756999021022586107,14.75413990020752
0,0.249895811,20250904111701030,None,4744,-2,-2,0,-5,-1,1,0,2,1756999021029915809,6.187219619750977
0,0.250127554,20250904111701030,None,4744,-2,-3,-3,3,-4,-3,-3,0,1756999021030035495,6.187219619750977
0,0.264957428,20250904111701045,None,4742,-1,-2,1,-2,-1,-2,2,-3,1756999021044949769,6.901129722595215
0,0.26520133,20250904111701045,None,4742,0,1,-1,-1,1,-4,-3,-2,1756999021045086622,6.901129722595215
0,0.2803092,20250904111701061,None,4740,4,0,-3,3,0,-3,-3,0,1756999021060579776,13.088349342346191
0,0.280588388,20250904111701061,None,4740,-1,-2,-1,-6,-2,-3,-2,-1,1756999021060738325,13.088349342346191
0,0.281460047,20250904111701062,None,4740,0,-1,0,-1,0,-1,-2,1,1756999021061372995,9.518799781799316
0,0.281768322,20250904111701062,None,4740,-3,1,0,-1,-1,-1,0,-2,1756999021061558246,9.518799781799316
0,0.294934273,20250904111701075,None,4739,-3,1,3,-2,1,3,2,-4,1756999021074951171,9.994739532470703
0,0.29515171,20250904111701075,None,4739,-2,-1,-1,0,-2,0,-3,-2,1756999021075085163,9.994739532470703
0,0.30189681,20250904111701082,None,4737,1,0,-2,0,0,-3,-1,1,1756999021082370758,12.612409591674805
0,0.302030325,20250904111701082,None,4737,-2,-2,0,-4,-2,-3,-1,-2,1756999021082479000,12.612409591674805
0,0.309344053,20250904111701090,None,4736,-3,0,-1,0,-2,-3,-1,-2,1756999021089874267,6.6631598472595215
0,0.309453964,20250904111701090,None,4736,0,-2,-1,-1,0,1,-1,-1,1756999021089988470,6.6631598472595215
0,0.324300289,20250904111701105,None,4735,1,0,0,2,1,-4,-2,0,1756999021104814052,14.516169548034668
0,0.324400425,20250904111701105,None,4735,0,1,-2,-3,0,-2,-3,-2,1756999021104925394,14.516169548034668
0,0.331875801,20250904111701112,None,4734,1,1,-2,-3,1,-2,2,1,1756999021112399339,5.949249744415283
0,0.331973076,20250904111701112,None,4734,0,-5,0,-2,0,0,0,-1,1756999021112540960,5.949249744415283
0,0.339422464,20250904111701120,None,4733,-2,-3,1,1,-3,-2,-2,1,1756999021119886398,14.516169548034668
0,0.339568138,20250904111701120,None,4733,1,2,-2,-2,-1,-1,0,-3,1756999021120029687,14.516169548034668
0,0.354391098,20250904111701135,None,4731,-3,-2,-1,1,-1,3,1,1,1756999021134874820,13.564290046691895
0,0.354494572,20250904111701135,None,4731,0,3,-1,-1,0,-1,-1,0,1756999021135015249,13.564290046691895
0,0.361896276,20250904111701142,None,4731,0,-2,-1,-2,-3,-1,0,0,1756999021142385959,13.564290046691895
0,0.361996412,20250904111701142,None,4731,1,1,0,-2,-3,-2,-1,-2,1756999021142528295,13.564290046691895
0,0.36956954,20250904111701150,None,4730,-3,0,0,0,0,-3,-3,-1,1756999021149874448,9.280829429626465
0,0.369820595,20250904111701150,None,4730,0,-1,0,1,-1,-5,0,0,1756999021150009393,9.280829429626465
0,0.38448286,20250904111701165,None,4727,0,-2,-1,1,-1,-1,0,-2,1756999021164891719,11.184589385986328
0,0.384661436,20250904111701165,None,4727,2,-1,-4,0,0,1,-4,-3,1756999021165050983,11.184589385986328
0,0.391957283,20250904111701172,None,4727,2,1,-3,1,-2,-2,-1,0,1756999021172387361,8.09097957611084
0,0.392085791,20250904111701172,None,4727,2,2,0,1,-1,-2,-1,5,1756999021172523260,8.09097957611084
0,0.399401665,20250904111701180,None,4727,-5,1,-1,-2,-2,-2,-1,-4,1756999021179836988,8.09097957611084
0,0.399576187,20250904111701180,None,4727,-1,1,1,-1,-2,-3,-1,0,1756999021179960489,8.09097957611084
0,0.414624452,20250904111701195,None,4724,-5,0,0,1,1,0,-1,0,1756999021194936037,5.949249744415283
0,0.414761066,20250904111701195,None,4724,0,0,-1,3,0,-3,2,-2,1756999021195101737,5.949249744415283
0,0.422289371,20250904111701203,None,4723,-2,-1,1,-1,-2,2,-1,2,1756999021202639102,14.516169548034668
0,0.422403097,20250904111701203,None,4723,1,-1,0,-4,-3,1,-4,-2,1756999021202810525,14.516169548034668
0,0.429432154,20250904111701210,None,4722,1,0,-3,2,1,2,-1,1,1756999021209872722,6.187219619750977
