gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.037615299,20250904113020560,None,2,231.78277587890625,1,0,-3,1,-1,1,7,2,1756999820560017585
0,0.03776598,20250904113020560,None,2,231.78277587890625,-1,-1,1,-3,-2,0,-2,0,1756999820560139894
0,0.044966221,20250904113020567,None,2,230.83090209960938,-3,-2,2,-2,-2,-6,-12,0,1756999820567468881
0,0.045080185,20250904113020567,None,2,230.83090209960938,-3,-5,1,-1,1,7,14,-5,1756999820567578315
0,0.06006217,20250904113020582,None,2,231.06886291503906,-1,-2,-1,0,-1,-1,0,0,1756999820582497358
0,0.060172796,20250904113020582,None,2,231.06886291503906,-1,6,1,0,0,-3,-5,-4,1756999820582662105
0,0.067399502,20250904113020590,None,2,231.3068389892578,-3,-2,-2,-1,-1,-4,-2,-2,1756999820589961528
0,0.067481756,20250904113020590,None,2,231.3068389892578,-2,-3,0,1,0,-1,-6,1,1756999820590063571
0,0.074846983,20250904113020597,None,2,232.020751953125,1,1,-2,1,-1,-3,1,-2,1756999820597408294
0,0.074916601,20250904113020597,None,2,232.020751953125,0,0,2,-1,-1,-3,1,0,1756999820597505569
0,0.090123892,20250904113020612,None,2,230.35494995117188,-3,0,1,-2,-4,-2,-1,-8,1756999820612484455
0,0.090234756,20250904113020612,None,2,230.35494995117188,-1,0,-2,1,7,0,0,1,1756999820612606048
0,0.097811222,20250904113020620,None,2,232.2587127685547,-3,-4,-1,-1,-1,-3,-2,-5,1756999820620076894
0,0.098021984,20250904113020620,None,2,232.2587127685547,0,0,0,-2,-3,-2,-1,-2,1756999820620195388
0,0.105665207,20250904113020628,None,2,230.83090209960938,-1,-1,-2,-1,1,-2,0,0,1756999820627663135
0,0.10578227,20250904113020628,None,2,230.83090209960938,0,2,-3,-2,2,1,-4,-4,1756999820627802133
0,0.120620251,20250904113020643,None,2,232.020751953125,0,-5,-3,-2,-1,-5,-10,-1,1756999820642637491
0,0.120950699,20250904113020643,None,2,232.020751953125,1,0,-3,-2,0,4,18,0,1756999820642789602
0,0.128018856,20250904113020650,None,2,230.59292602539062,-3,-4,3,0,-1,-1,-3,-2,1756999820650127887
0,0.128268003,20250904113020651,None,2,230.59292602539062,1,1,0,1,-3,-4,1,0,1756999820650255918
0,0.135477543,20250904113020658,None,2,231.3068389892578,2,4,-3,-3,0,-2,-4,1,1756999820657566070
0,0.135697126,20250904113020658,None,2,231.3068389892578,-1,-2,-1,0,1,-1,-3,-2,1756999820657683610
0,0.150406837,20250904113020673,None,2,231.3068389892578,0,-1,-1,0,1,2,2,0,1756999820672575473
0,0.150641441,20250904113020673,None,2,231.3068389892578,3,-4,2,0,-2,1,1,3,1756999820672699689
0,0.158203363,20250904113020680,None,2,231.3068389892578,0,0,1,2,6,0,0,1,1756999820680202484
0,0.158449411,20250904113020681,None,2,231.3068389892578,1,2,0,-1,0,1,2,-1,1756999820680414676
0,0.165618658,20250904113020688,None,2,231.78277587890625,-6,-7,0,1,-2,0,-2,-4,1756999820687586784
0,0.165840387,20250904113020688,None,2,231.78277587890625,1,-3,-5,0,-4,0,-5,-5,1756999820687732219
0,0.181143284,20250904113020703,None,2,232.020751953125,-3,-5,1,-2,-1,-1,0,-3,1756999820703093767
0,0.181334257,20250904113020704,None,2,232.020751953125,-1,1,1,-1,-1,1,0,0,1756999820703244209
0,0.187914133,20250904113020710,None,2,230.1169891357422,0,-1,0,1,-1,-1,1,-4,1756999820710076570
0,0.188088179,20250904113020710,None,2,230.1169891357422,1,-3,-1,-1,1,-5,-11,0,1756999820710195541
0,0.195333004,20250904113020718,None,2,230.1169891357422,1,6,1,-2,0,4,7,1,1756999820717528343
0,0.195528984,20250904113020718,None,2,230.1169891357422,-4,-1,-2,-1,1,0,2,0,1756999820717652797
0,0.218886375,20250904113020741,None,2,231.78277587890625,1,-3,-1,1,3,0,2,-1,1756999820740829467
0,0.219114065,20250904113020741,None,2,231.78277587890625,-2,0,1,-1,-3,-3,-3,-1,1756999820740980625
0,0.219227314,20250904113020741,None,2,231.78277587890625,-6,-5,-5,0,2,-4,-6,-3,1756999820741623401
0,0.219320297,20250904113020742,None,2,231.78277587890625,-5,-1,-1,1,-1,1,2,2,1756999820741811275
