gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.037986279,20250904112457667,None,8,231.5447998046875,-3,-3,0,-3,-1,-1,0,-2,1756999497667171001
0,0.038196802,20250904112457667,None,8,231.5447998046875,0,1,0,5,2,-2,-1,0,1756999497667336225
0,0.053111077,20250904112457682,None,8,230.1169891357422,2,-2,-2,0,0,2,1,-3,1756999497682201862
0,0.053384066,20250904112457682,None,8,231.5447998046875,0,3,2,-2,-2,-1,0,-2,1756999497682511568
0,0.060432196,20250904112457689,None,8,231.5447998046875,-2,-1,0,-3,-3,-2,1,0,1756999497689671277
0,0.060570717,20250904112457690,None,8,231.5447998046875,-1,1,-2,-2,0,-4,-4,2,1756999497689807176
0,0.067766667,20250904112457697,None,8,230.1169891357422,-2,0,1,4,1,3,6,2,1756999497697072029
0,0.067865849,20250904112457697,None,8,230.1169891357422,-3,-2,-3,-4,0,-2,-1,0,1756999497697168588
0,0.082842112,20250904112457712,None,8,230.59292602539062,-4,-4,-4,4,9,1,1,-6,1756999497712071657
0,0.082959175,20250904112457712,None,8,230.59292602539062,1,1,-1,2,-1,1,-1,-4,1756999497712198495
0,0.090453863,20250904112457719,None,8,230.59292602539062,1,0,-1,-1,-4,-1,5,-1,1756999497719659328
0,0.090620518,20250904112457720,None,8,230.59292602539062,1,-1,-4,-5,-4,-4,1,2,1756999497719809532
0,0.098027945,20250904112457727,None,8,230.59292602539062,-2,-3,-1,-1,2,2,0,1,1756999497727210521
0,0.098177672,20250904112457727,None,8,230.59292602539062,1,0,1,0,0,-1,2,-1,1756999497727394819
0,0.114559412,20250904112457744,None,8,229.64105224609375,1,0,-2,0,0,1,3,3,1756999497743610382
0,0.114795685,20250904112457744,None,8,229.64105224609375,0,-3,1,-3,-1,-5,0,-1,1756999497743912220
0,0.120523215,20250904112457750,None,8,231.5447998046875,1,-1,-4,0,2,-1,-3,-4,1756999497749647617
0,0.120722533,20250904112457750,None,8,231.5447998046875,0,1,0,-2,-13,-19,-2,-4,1756999497749770641
0,0.127995015,20250904112457757,None,8,229.87901306152344,0,-3,3,-3,4,18,2,-1,1756999497757178306
