gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.04852581,20250904112308073,None,0,230.35494995117188,0,0,-4,-2,-3,1,1,0,1756999388072930812
0,0.048679352,20250904112308073,None,0,230.35494995117188,-2,0,-1,-1,-2,-2,1,-1,1756999388073070764
0,0.063513279,20250904112308088,None,0,228.45120239257812,-2,-1,-1,-1,2,-1,-2,-3,1756999388087930917
0,0.063757658,20250904112308088,None,0,228.45120239257812,-1,-1,-1,0,-1,1,0,-3,1756999388088074684
0,0.070888519,20250904112308095,None,0,229.87901306152344,-3,1,0,-1,3,0,-2,-1,1756999388095371723
0,0.071007728,20250904112308095,None,0,229.87901306152344,-1,0,-2,2,-1,0,3,2,1756999388095477104
0,0.078378677,20250904112308103,None,0,228.6891632080078,-2,-1,-2,-1,-1,1,-3,-2,1756999388102864980
0,0.078507185,20250904112308103,None,0,228.6891632080078,0,0,1,-1,-3,-2,-4,-1,1756999388102969646
0,0.085885048,20250904112308110,None,0,229.64105224609375,0,-1,-3,-3,0,-4,-1,2,1756999388110368251
0,0.08597517,20250904112308110,None,0,229.64105224609375,1,-2,1,1,0,-2,2,-2,1756999388110481500
0,0.100830316,20250904112308125,None,0,229.16510009765625,-4,2,-3,-2,-1,1,2,-1,1756999388125334262
0,0.100933075,20250904112308125,None,0,229.16510009765625,2,-3,-1,-3,0,-3,-1,-1,1756999388125461339
0,0.116180181,20250904112308140,None,0,229.64105224609375,-1,-2,0,0,-2,-2,0,1,1756999388140519857
0,0.116367817,20250904112308141,None,0,229.64105224609375,0,1,0,-2,-2,-1,-1,0,1756999388140682458
0,0.123708009,20250904112308148,None,0,228.92713928222656,-2,-2,0,-2,0,0,-3,-1,1756999388148013830
0,0.12400341,20250904112308148,None,0,228.92713928222656,-1,0,3,-1,1,-1,4,0,1756999388148188591
0,0.131202936,20250904112308155,None,0,230.1169891357422,0,-2,0,-2,0,3,1,1,1756999388155517339
0,0.13135457,20250904112308156,None,0,230.1169891357422,-2,-1,-1,1,0,-3,-4,-4,1756999388155688047
0,0.138624668,20250904112308163,None,0,230.1169891357422,-1,3,-3,-3,1,1,-3,0,1756999388163007259
0,0.138776541,20250904112308163,None,0,230.1169891357422,-4,-4,-3,0,-3,-1,-1,0,1756999388163161754
0,0.146161556,20250904112308170,None,0,228.45120239257812,0,-1,0,-1,-2,-2,4,1,1756999388170540332
0,0.14637661,20250904112308171,None,0,228.45120239257812,0,-3,0,-1,-1,0,-1,-1,1756999388170722484
0,0.161069393,20250904112308185,None,0,228.45120239257812,-1,-2,-1,0,2,-4,-7,0,1756999388185472249
0,0.161314487,20250904112308186,None,0,228.45120239257812,-1,1,2,1,-1,0,1,1,1756999388185704946
0,0.168409824,20250904112308193,None,0,230.1169891357422,-1,-6,-1,-2,0,2,-1,-1,1756999388192908048
0,0.168501615,20250904112308193,None,0,230.1169891357422,0,-5,-1,-3,-2,-1,-3,1,1756999388193033695
0,0.18354392,20250904112308208,None,0,229.403076171875,-1,-1,-1,1,-1,-2,-2,2,1756999388207962512
0,0.183667183,20250904112308208,None,0,229.403076171875,1,1,-1,-2,2,0,0,1,1756999388208109378
0,0.191082954,20250904112308215,None,0,229.87901306152344,0,0,-2,0,-1,-1,1,2,1756999388215491533
0,0.191230058,20250904112308215,None,0,229.87901306152344,-1,1,-1,-1,0,3,0,2,1756999388215638875
0,0.198450565,20250904112308223,None,0,229.87901306152344,0,-1,1,1,2,-2,0,-1,1756999388222918033
0,0.198578357,20250904112308223,None,0,229.87901306152344,-2,-3,-1,-1,-3,0,-2,0,1756999388223042249
0,0.206142902,20250904112308230,None,0,228.92713928222656,-3,0,-3,-4,-1,0,-5,-3,1756999388230504512
0,0.206343889,20250904112308231,None,0,228.92713928222656,0,-2,1,0,-1,0,3,0,1756999388230659008
0,0.220992088,20250904112308245,None,0,229.87901306152344,0,0,-4,2,0,-2,-5,-2,1756999388245454072
0,0.221228122,20250904112308245,None,0,228.6891632080078,1,-1,-1,0,0,-1,-2,-1,1756999388245584964
0,0.228479624,20250904112308253,None,0,228.6891632080078,1,0,1,-3,1,-1,0,-2,1756999388252941370
0,0.228661775,20250904112308253,None,0,228.6891632080078,-4,-2,-1,-2,0,1,-2,1,1756999388253072738
0,0.243599891,20250904112308268,None,0,228.6891632080078,1,-5,-2,0,0,-1,0,-2,1756999388267970800
0,0.243723869,20250904112308268,None,0,228.6891632080078,-3,-2,-1,-2,-1,-2,-1,-1,1756999388268108129
0,0.251075506,20250904112308275,None,0,230.1169891357422,2,-1,-3,-2,-2,3,-1,-1,1756999388275513887
0,0.251215219,20250904112308275,None,0,230.1169891357422,-1,2,1,-1,-4,-3,-6,0,1756999388275649785
0,0.258545398,20250904112308283,None,0,228.92713928222656,-2,0,1,-7,1,0,0,1,1756999388282957077
0,0.258679151,20250904112308283,None,0,228.92713928222656,-2,-3,-4,-2,0,-1,-1,0,1756999388283089399
0,0.266072988,20250904112308290,None,0,228.92713928222656,-2,2,-1,0,1,0,2,-3,1756999388290517091
0,0.266223907,20250904112308290,None,0,228.92713928222656,-2,-3,0,1,0,-1,-3,-1,1756999388290651559
0,0.281038522,20250904112308305,None,0,229.403076171875,1,2,-1,0,0,-3,-3,-2,1756999388305481910
0,0.281195402,20250904112308305,None,0,229.403076171875,0,1,0,-2,2,-1,-1,-1,1756999388305624723
0,0.296195984,20250904112308320,None,0,229.64105224609375,-2,-3,-3,-1,1,2,0,-2,1756999388320576667
0,0.296385288,20250904112308321,None,0,229.64105224609375,0,-1,0,-1,1,-1,-1,1,1756999388320820569
0,0.303481102,20250904112308328,None,0,229.64105224609375,-2,-2,-3,0,0,-2,-1,-1,1756999388327932596
0,0.303748369,20250904112308328,None,0,229.64105224609375,0,4,-1,2,2,1,0,-1,1756999388328121900
0,0.311017513,20250904112308335,None,0,228.6891632080078,-1,-5,-1,-3,-1,0,-5,1,1756999388335522890
0,0.311169386,20250904112308335,None,0,228.6891632080078,-2,-3,-2,-5,-1,0,2,2,1756999388335660219
0,0.318454742,20250904112308343,None,0,230.35494995117188,-2,6,0,1,3,-1,-4,1,1756999388342964649
0,0.318632364,20250904112308343,None,0,230.35494995117188,-2,0,0,0,-1,-1,1,-3,1756999388343081951
0,0.326012134,20250904112308350,None,0,228.6891632080078,-2,0,-1,2,0,1,0,-1,1756999388350464105
0,0.326171636,20250904112308350,None,0,228.6891632080078,-4,-4,-3,-1,-1,-1,-2,-1,1756999388350573062
0,0.34128499,20250904112308366,None,0,230.35494995117188,-3,-2,2,-1,-3,1,-1,0,1756999388365593671
