gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.038374663,20250904111139338,None,-25555,9.994739532470703,-1,-4,-4,-1,0,0,-2,0,1756998699338049650
0,0.03851533,20250904111139338,None,-25555,9.994739532470703,2,1,-2,-1,-2,0,-2,0,1756998699338173151
0,0.053231239,20250904111139353,None,-25557,7.139100074768066,-1,1,0,-2,-1,-2,0,-4,1756998699352929592
0,0.053369045,20250904111139353,None,-25557,7.139100074768066,3,3,0,-1,1,-1,-2,-4,1756998699353055238
0,0.06064415,20250904111139360,None,-25559,13.80225944519043,-1,-5,-2,-4,-3,-3,1,-2,1756998699360438108
0,0.060727596,20250904111139360,None,-25559,13.80225944519043,0,0,1,-1,0,2,1,-1,1756998699360546827
0,0.068099976,20250904111139368,None,-25560,13.80225944519043,-1,5,1,-1,1,-2,1,0,1756998699367903470
0,0.068188429,20250904111139368,None,-25560,13.80225944519043,-6,-8,-1,-1,2,-1,2,0,1756998699368018388
0,0.083822489,20250904111139383,None,-25561,14.040229797363281,-1,-1,-1,-2,-2,-1,-8,-2,1756998699383501052
0,0.083970785,20250904111139383,None,-25561,14.040229797363281,3,-3,1,-3,-2,-1,0,-2,1756998699383637666
0,0.090986967,20250904111139390,None,-25562,5.71127986907959,-1,0,-2,1,1,3,9,2,1756998699390607833
0,0.0911057,20250904111139391,None,-25562,5.71127986907959,-2,1,-2,0,1,0,2,0,1756998699390750169
0,0.098443508,20250904111139398,None,-25563,12.850379943847656,0,1,2,1,-1,-4,-6,-5,1756998699398084163
0,0.098625899,20250904111139398,None,-25563,12.850379943847656,-1,0,3,-1,-2,-1,-4,-2,1756998699398280858
0,0.114112377,20250904111139414,None,-25564,8.328949928283691,-1,-2,-4,2,1,0,0,2,1756998699413287878
0,0.114291668,20250904111139414,None,-25564,8.328949928283691,-1,1,-1,-1,-2,-5,-2,0,1756998699413502693
0,0.121058703,20250904111139421,None,-25565,10.470680236816406,-1,1,-1,-2,-2,-4,2,-1,1756998699420514345
0,0.1212883,20250904111139421,None,-25565,10.470680236816406,-1,-3,1,-1,-2,1,5,-3,1756998699420640707
0,0.12856102,20250904111139428,None,-25566,9.994739532470703,0,1,1,0,-2,-2,0,-2,1756998699428052425
0,0.128712177,20250904111139428,None,-25566,9.994739532470703,1,5,-1,-1,2,0,-3,-2,1756998699428200960
0,0.143466711,20250904111139443,None,-25569,12.612409591674805,-1,-3,1,0,-2,-2,-1,-2,1756998699443153142
0,0.143627405,20250904111139443,None,-25569,12.612409591674805,-1,-4,-2,0,-1,-1,-2,2,1756998699443337440
0,0.150787354,20250904111139450,None,-25569,12.612409591674805,2,8,-3,-1,-2,2,1,-1,1756998699450548887
0,0.15088439,20250904111139450,None,-25569,12.612409591674805,-5,-9,-2,-2,1,-4,3,-1,1756998699450695514
0,0.158216953,20250904111139458,None,-25570,5.4733099937438965,-1,-5,0,-5,-2,0,1,-3,1756998699457969665
0,0.158318043,20250904111139458,None,-25570,5.4733099937438965,-1,4,1,0,2,-2,-1,-3,1756998699458084344
0,0.17314148,20250904111139473,None,-25572,5.4733099937438965,2,3,3,-3,0,-3,-1,-2,1756998699472947597
0,0.173202753,20250904111139473,None,-25572,5.4733099937438965,-2,-8,-2,-1,0,2,0,-1,1756998699473057985
0,0.180593014,20250904111139480,None,-25573,13.088349342346191,-2,-4,0,-3,-3,0,0,0,1756998699480440378
0,0.180838823,20250904111139480,None,-25573,13.088349342346191,0,0,-4,-2,-3,-2,1,2,1756998699480552196
0,0.188883066,20250904111139488,None,-25574,13.088349342346191,0,-2,-1,-3,-1,-2,-1,0,1756998699488257646
0,0.189092875,20250904111139489,None,-25574,13.088349342346191,-2,1,1,1,1,-5,-8,-2,1756998699488404035
0,0.20369196,20250904111139503,None,-25575,10.946619987487793,-2,-2,-1,-1,-2,4,4,2,1756998699503104209
0,0.20388341,20250904111139503,None,-25575,10.946619987487793,-1,0,-2,-1,-1,-1,1,0,1756998699503252506
0,0.211180687,20250904111139511,None,-25576,10.470680236816406,0,-1,-2,-4,-3,-1,0,-2,1756998699510614156
0,0.211435795,20250904111139511,None,-25576,10.470680236816406,2,3,1,-2,0,-5,0,1,1756998699510750532
0,0.21841383,20250904111139518,None,-25577,8.09097957611084,-3,-5,0,0,0,-1,0,1,1756998699518003225
0,0.218565941,20250904111139518,None,-25577,8.09097957611084,1,-3,0,-1,-3,1,-5,-2,1756998699518117666
0,0.234035969,20250904111139534,None,-25579,12.850379943847656,2,0,0,0,0,-1,-1,-2,1756998699533346652
0,0.234452009,20250904111139534,None,-25579,12.850379943847656,-4,4,-1,-2,-1,-1,2,2,1756998699533679962
0,0.249107123,20250904111139549,None,-25581,13.80225944519043,0,-8,-3,-2,-1,0,-5,-4,1756998699548695564
0,0.249311924,20250904111139549,None,-25581,13.80225944519043,0,-2,-4,1,-1,-4,-4,-3,1756998699548828840
0,0.250042439,20250904111139550,None,-25581,13.80225944519043,-3,3,2,2,-1,0,1,-1,1756998699549714088
0,0.25020814,20250904111139550,None,-25581,13.80225944519043,1,-2,-2,-4,0,2,5,0,1756998699549856662
0,0.263494969,20250904111139563,None,-25583,5.71127986907959,-4,0,-1,-1,-1,-1,-2,1,1756998699563088417
0,0.263671875,20250904111139563,None,-25583,5.71127986907959,-2,-5,1,1,-3,1,0,-2,1756998699563261270
0,0.270815611,20250904111139570,None,-25583,13.564290046691895,2,-3,0,0,1,2,-1,-3,1756998699570580959
0,0.270910025,20250904111139570,None,-25583,13.564290046691895,1,1,-3,-2,0,-2,-3,0,1756998699570726871
0,0.278349877,20250904111139578,None,-25584,7.139100074768066,-4,1,-3,-1,-1,-1,-4,0,1756998699578087091
0,0.27855587,20250904111139578,None,-25584,7.139100074768066,-1,1,-1,-1,-3,-6,-5,-5,1756998699578349590
0,0.293448448,20250904111139593,None,-25586,9.756770133972168,-1,1,1,1,2,1,6,2,1756998699593131303
0,0.293598175,20250904111139593,None,-25586,9.756770133972168,-1,1,1,0,1,-2,0,1,1756998699593290567
0,0.30086422,20250904111139600,None,-25587,9.280829429626465,-4,-3,-1,-2,-2,-3,-6,-1,1756998699600626707
0,0.300978422,20250904111139600,None,-25587,9.280829429626465,1,-1,1,-1,-4,1,2,0,1756998699600790262
0,0.308640719,20250904111139608,None,-25587,9.280829429626465,1,-3,-2,0,-1,-3,-3,-1,1756998699608096837
0,0.308844805,20250904111139608,None,-25587,9.280829429626465,-2,1,3,0,0,-2,-2,-1,1756998699608208417
0,0.323424339,20250904111139623,None,-25590,6.187219619750977,-4,-7,-1,0,-1,-1,-4,-1,1756998699623121500
0,0.323558331,20250904111139623,None,-25590,6.187219619750977,-1,-4,1,0,-1,1,9,1,1756998699623262166
0,0.330897808,20250904111139630,None,-25591,14.278200149536133,-1,1,-1,-1,1,0,2,1,1756998699630673885
0,0.331003666,20250904111139630,None,-25591,14.278200149536133,2,-1,-3,-3,-1,-4,-1,-3,1756998699630829811
0,0.338312149,20250904111139638,None,-25592,14.278200149536133,0,-4,-1,-1,-2,1,-5,0,1756998699638046503
0,0.338409186,20250904111139638,None,-25592,14.278200149536133,1,2,-1,2,-1,-2,-2,-4,1756998699638143539
0,0.353403807,20250904111139653,None,-25593,13.80225944519043,0,-1,1,-2,1,-2,-1,-1,1756998699653095960
0,0.353513956,20250904111139653,None,-25593,13.80225944519043,1,-1,0,-1,-2,0,-1,0,1756998699653270244
0,0.361042738,20250904111139661,None,-25594,6.425189971923828,1,-1,0,-1,-2,-2,-5,0,1756998699660546779
0,0.361496687,20250904111139661,None,-25594,6.425189971923828,3,6,-3,-2,-3,-1,0,1,1756998699660681247
0,0.36861682,20250904111139668,None,-25595,11.42255973815918,0,0,1,-2,2,0,-1,-2,1756998699668073177
