gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.038968801,20250904110742658,None,-3703,11.184589385986328,-2,-3,0,-1,4,-1,-4,-2,1756998462658271551
0,0.039076328,20250904110742658,None,-3703,11.184589385986328,0,-3,1,-1,-5,-1,1,0,1756998462658402204
0,0.054526567,20250904110742674,None,-3703,8.328949928283691,2,-1,1,1,-2,-1,0,-2,1756998462673667907
0,0.054642439,20250904110742674,None,-3703,8.328949928283691,-2,0,-2,-4,-4,0,-1,0,1756998462673795700
0,0.061565876,20250904110742681,None,-3703,8.328949928283691,-1,-1,-1,2,2,3,1,0,1756998462680803537
0,0.061703443,20250904110742681,None,-3703,8.328949928283691,-3,0,-1,-3,-4,1,-1,-1,1756998462680939197
0,0.069092989,20250904110742688,None,-3703,14.278200149536133,0,3,-2,-5,-2,-3,0,0,1756998462688315391
0,0.069250345,20250904110742688,None,-3703,14.278200149536133,-2,-3,-2,1,-1,-4,0,0,1756998462688467979
0,0.084084749,20250904110742703,None,-3703,14.992109298706055,-1,-1,1,2,-2,1,-3,1,1756998462703311920
0,0.084210634,20250904110742703,None,-3703,14.992109298706055,-5,-4,-1,1,-1,0,1,0,1756998462703438520
0,0.099628925,20250904110742719,None,-3703,7.139100074768066,-3,2,3,0,1,-2,-1,-1,1756998462718865156
0,0.099758625,20250904110742719,None,-3703,7.139100074768066,-2,0,-4,-4,-3,-1,1,-4,1756998462718986511
0,0.100379467,20250904110742719,None,-3703,7.139100074768066,2,-4,0,0,-3,-1,-4,-3,1756998462719713687
0,0.100528955,20250904110742720,None,-3703,14.278200149536133,-3,-1,1,0,5,0,-1,0,1756998462719795465
0,0.114177227,20250904110742733,None,-3703,9.04286003112793,-2,-1,-2,5,2,0,0,-3,1756998462733261108
0,0.114372253,20250904110742733,None,-3703,9.04286003112793,0,-1,-1,-4,2,2,3,2,1756998462733501672
0,0.121930361,20250904110742741,None,-3703,11.660530090332031,-2,-4,-1,-4,-1,-2,-4,-1,1756998462740869998
0,0.122202396,20250904110742741,None,-3703,11.660530090332031,0,-2,-2,-2,-9,0,-1,-1,1756998462741145849
0,0.129077911,20250904110742748,None,-3703,10.708649635314941,-1,0,-3,-3,2,-2,-1,0,1756998462748372077
0,0.129163027,20250904110742748,None,-3703,10.708649635314941,-1,-5,-2,-1,-3,-1,-5,1,1756998462748528957
0,0.144202232,20250904110742763,None,-3703,8.804889678955078,0,-2,-2,0,0,2,2,0,1756998462763340711
0,0.144399643,20250904110742763,None,-3703,8.804889678955078,0,3,-1,-1,-4,-3,-2,0,1756998462763514280
0,0.159703255,20250904110742779,None,-3703,6.6631598472595215,1,-2,-2,-3,-1,-2,-3,-3,1756998462778766870
0,0.159912348,20250904110742779,None,-3703,6.6631598472595215,-3,-6,-1,0,1,-2,0,-2,1756998462778970479
0,0.166709423,20250904110742786,None,-3703,14.75413990020752,-1,1,1,1,-1,2,1,-1,1756998462785890817
0,0.166891813,20250904110742786,None,-3703,14.75413990020752,-1,-1,-4,2,-1,-1,2,-1,1756998462786036729
0,0.174224853,20250904110742793,None,-3703,14.75413990020752,-1,-2,1,1,-3,-1,1,2,1756998462793459177
0,0.174322605,20250904110742793,None,-3703,14.75413990020752,-1,0,0,2,-3,-3,-3,-2,1756998462793665647
0,0.181745052,20250904110742801,None,-3703,6.901129722595215,-3,-1,1,0,1,-1,1,3,1756998462800987243
0,0.181856632,20250904110742801,None,-3703,6.901129722595215,-2,2,-7,-3,-1,0,-3,0,1756998462801161766
0,0.189402103,20250904110742808,None,-3703,14.516169548034668,-1,-4,0,-1,0,1,-3,-3,1756998462808571815
