gt,time_elapsed,current_time,current_task,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,motor_position
0,0.031243086,20250904110610380,None,231.5447998046875,-4,-2,0,-1,-2,1,-1,-2,1756998370378904104,
0,0.031396866,20250904110610380,None,231.5447998046875,1,3,-5,-3,1,-3,0,-1,1756998370379026651,
0,0.037763119,20250904110610386,None,230.83090209960938,0,4,0,-3,-2,-2,0,-1,1756998370386491298,
0,0.037902832,20250904110610386,None,230.83090209960938,2,0,-4,0,-3,-1,-4,-2,1756998370386626720,
0,0.052668333,20250904110610401,None,231.3068389892578,-4,-4,-5,-4,-3,0,1,2,1756998370401441097,-76.0
0,0.052803039,20250904110610401,None,231.3068389892578,0,-9,0,-2,1,1,-1,3,1756998370401558876,-76.0
0,0.060166836,20250904110610409,None,230.35494995117188,-2,-3,0,-3,-1,-4,-7,-1,1756998370408952474,-76.0
0,0.060312986,20250904110610409,None,230.35494995117188,-1,0,0,-2,-1,6,12,4,1756998370409081935,-76.0
0,0.067582369,20250904110610416,None,230.35494995117188,-1,7,-3,-3,-2,-1,0,-3,1756998370416374444,-76.0
0,0.067676067,20250904110610416,None,230.35494995117188,2,1,-2,0,1,0,-2,-2,1756998370416500329,-76.0
0,0.082648754,20250904110610431,None,230.1169891357422,-2,2,1,-2,1,-2,-1,0,1756998370431427955,-76.0
0,0.08278203,20250904110610431,None,230.1169891357422,-5,-16,-5,-1,2,-1,-4,-4,1756998370431548118,-76.0
0,0.090145826,20250904110610439,None,231.78277587890625,-1,-4,-2,-4,-1,0,-2,-3,1756998370438900232,-76.0
0,0.090292454,20250904110610439,None,231.78277587890625,2,2,3,-2,-1,-4,0,-1,1756998370439018964,-76.0
0,0.097711563,20250904110610446,None,230.35494995117188,3,9,3,-1,-2,0,2,-2,1756998370446462869,-76.0
0,0.097860098,20250904110610446,None,230.35494995117188,-1,-7,1,1,-3,-1,-1,-1,1756998370446613311,-76.0
0,0.113425731,20250904110610462,None,231.5447998046875,-1,-8,-4,-3,-3,0,1,0,1756998370461608409,-76.0
0,0.113700867,20250904110610462,None,231.5447998046875,0,3,1,-1,0,-1,1,0,1756998370461804866,-76.0
0,0.120345115,20250904110610469,None,230.83090209960938,-1,-1,-2,-3,-1,-5,-12,-1,1756998370469006538,-76.0
0,0.120493173,20250904110610469,None,230.83090209960938,-1,0,0,0,0,4,14,-1,1756998370469246864,-76.0
0,0.128121853,20250904110610477,None,231.06886291503906,-2,0,0,-2,-1,-1,-1,0,1756998370476778268,-76.0
0,0.128293037,20250904110610477,None,231.06886291503906,-4,1,2,0,-1,-1,-3,-3,1756998370477005481,-76.0
0,0.142981767,20250904110610492,None,230.83090209960938,-1,-3,2,-1,-2,-1,-2,-3,1756998370491738319,-76.0
0,0.143097639,20250904110610492,None,230.83090209960938,3,0,-3,-1,0,-3,0,0,1756998370491940975,-76.0
0,0.150348425,20250904110610499,None,230.83090209960938,-2,-6,2,-2,1,-1,1,-4,1756998370499140262,-76.0
0,0.150461435,20250904110610499,None,230.83090209960938,-1,-2,0,0,0,-1,2,0,1756998370499274969,-76.0
0,0.158364534,20250904110610507,None,231.5447998046875,2,0,0,-1,-3,-1,0,-1,1756998370506982088,-76.0
0,0.158616066,20250904110610507,None,231.5447998046875,-3,-8,2,0,1,-2,-3,2,1756998370507189750,-76.0
0,0.172997474,20250904110610522,None,232.020751953125,1,4,-1,3,-1,-3,-1,-1,1756998370521535634,-76.0
0,0.173133135,20250904110610522,None,232.020751953125,2,2,0,-1,0,1,-1,2,1756998370521908044,-76.0
