gt,time_elapsed,current_time,current_task,motor_position,futek,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.038832665,20250904110913596,None,-12365,5.4733099937438965,-3,0,-1,-1,2,0,1,2,1756998553596130371
0,0.038964748,20250904110913596,None,-12365,5.4733099937438965,-2,-3,-4,-4,2,0,1,-4,1756998553596255064
0,0.046145439,20250904110913603,None,-12365,13.088349342346191,-1,-3,-1,-2,-2,1,-3,-2,1756998553603556394
0,0.046261072,20250904110913603,None,-12365,13.088349342346191,-1,-2,-1,2,-1,1,1,-2,1756998553603670358
0,0.053628683,20250904110913611,None,-12366,6.901129722595215,0,0,0,-1,-3,-6,0,1,1756998553611034870
0,0.053787232,20250904110913611,None,-12366,6.901129722595215,-2,-2,0,0,1,2,-1,1,1756998553611145496
0,0.068700552,20250904110913626,None,-12368,9.04286003112793,0,-2,3,-2,-1,-4,-1,-3,1756998553626090049
0,0.06884408,20250904110913626,None,-12368,9.04286003112793,0,-1,2,-2,-1,-2,0,-4,1756998553626218318
0,0.076333284,20250904110913633,None,-12369,9.04286003112793,2,-4,1,-2,0,-1,-1,2,1756998553633536815
0,0.076486349,20250904110913634,None,-12369,8.804889678955078,-3,-5,0,0,-1,-4,-1,-1,1756998553633787155
0,0.083821535,20250904110913641,None,-12369,8.804889678955078,0,1,2,0,1,1,2,1,1756998553641170501
0,0.083974123,20250904110913641,None,-12369,8.804889678955078,-1,0,-3,-4,-2,0,-1,-2,1756998553641370058
0,0.098916769,20250904110913656,None,-12372,6.187219619750977,-5,-2,-3,-3,0,-1,-2,-1,1756998553656301975
0,0.099057198,20250904110913656,None,-12372,6.187219619750977,0,-2,-2,-1,2,1,-1,-1,1756998553656465291
0,0.106562853,20250904110913664,None,-12373,13.80225944519043,2,3,1,-2,-7,-3,-2,0,1756998553663863658
0,0.106748819,20250904110913664,None,-12373,13.80225944519043,0,0,0,1,6,-1,1,0,1756998553664047718
0,0.113909006,20250904110913671,None,-12374,13.80225944519043,0,-1,-1,-1,-2,-1,-4,-2,1756998553671185970
0,0.114151716,20250904110913671,None,-12374,13.80225944519043,0,3,1,-1,-1,0,1,-1,1756998553671366930
0,0.137089491,20250904110913694,None,-12376,6.425189971923828,0,-1,-1,-1,-1,-1,-1,0,1756998553694390058
0,0.137289286,20250904110913694,None,-12376,6.425189971923828,-1,-2,-1,-1,-1,-2,-1,-2,1756998553694570779
0,0.137740374,20250904110913695,None,-12376,6.425189971923828,2,0,2,-1,-3,-1,0,-2,1756998553695102930
0,0.138224363,20250904110913695,None,-12376,6.425189971923828,-2,1,-1,-3,0,0,0,0,1756998553695217132
0,0.143983603,20250904110913701,None,-12377,11.42255973815918,-2,0,-1,-4,2,0,2,-1,1756998553701147317
0,0.144131899,20250904110913701,None,-12377,11.42255973815918,1,2,-2,-2,-1,-4,-3,-2,1756998553701262950
0,0.159009218,20250904110913716,None,-12378,8.566919326782227,1,0,0,-1,-1,-2,-1,-1,1756998553716171503
0,0.159164906,20250904110913716,None,-12378,8.566919326782227,-3,1,1,-2,0,-1,-2,2,1756998553716467857
0,0.166344643,20250904110913723,None,-12379,9.280829429626465,-2,-3,1,0,-3,-1,-1,-2,1756998553723614931
0,0.166520119,20250904110913724,None,-12379,9.280829429626465,0,-2,-3,-1,-1,-1,-1,0,1756998553723739862
0,0.173835039,20250904110913731,None,-12381,11.42255973815918,0,1,-1,-1,-4,1,3,-2,1756998553731157302
0,0.173962593,20250904110913731,None,-12381,11.42255973815918,-1,-2,-2,0,-2,0,0,-6,1756998553731351613
0,0.188937664,20250904110913746,None,-12383,13.80225944519043,-1,-3,-1,-3,-3,-1,-3,-1,1756998553746223211
0,0.18909502,20250904110913746,None,-12383,13.80225944519043,-1,-3,-1,2,2,3,1,-1,1756998553746416807
0,0.196445942,20250904110913754,None,-12384,13.80225944519043,-1,-4,-1,0,2,-2,0,-2,1756998553753718852
0,0.196568966,20250904110913754,None,-12384,13.80225944519043,0,2,2,-1,0,-1,-2,-2,1756998553753893375
0,0.203740358,20250904110913761,None,-12384,5.71127986907959,-1,-1,0,-3,1,-1,-1,-5,1756998553761130332
0,0.203828335,20250904110913761,None,-12384,5.71127986907959,0,-4,0,-2,-4,1,-2,-1,1756998553761279821
0,0.218824625,20250904110913776,None,-12386,6.187219619750977,-3,-1,-2,-1,-2,1,-2,0,1756998553776192188
0,0.218935728,20250904110913776,None,-12386,6.187219619750977,-1,-2,-2,0,3,0,1,0,1756998553776371717
0,0.226296425,20250904110913783,None,-12387,11.898499488830566,-3,1,1,-1,-1,1,-2,-2,1756998553783651351
0,0.226379871,20250904110913784,None,-12387,11.898499488830566,2,1,-1,0,-1,-2,-4,-1,1756998553783778667
0,0.233936548,20250904110913791,None,-12388,11.898499488830566,-1,-2,-1,-2,-2,0,-1,-3,1756998553791207313
0,0.23409605,20250904110913791,None,-12388,11.898499488830566,-5,-3,-3,-1,-3,0,-2,-2,1756998553791416883
0,0.248891592,20250904110913806,None,-12389,9.756770133972168,0,1,0,0,-2,-1,-2,-2,1756998553806243896
0,0.248995781,20250904110913806,None,-12389,9.756770133972168,-3,0,-1,-2,0,-3,0,-1,1756998553806417465
0,0.256299496,20250904110913813,None,-12391,10.232709884643555,0,-1,-1,-1,-1,-5,-2,-1,1756998553813673734
0,0.256427288,20250904110913814,None,-12391,10.232709884643555,-2,1,-1,-3,-7,0,-2,-3,1756998553813808917
0,0.263693333,20250904110913821,None,-12391,7.139100074768066,-2,-1,-4,4,6,-1,0,1,1756998553821126699
0,0.263786793,20250904110913821,None,-12391,7.139100074768066,-1,1,-3,1,-4,0,0,1,1756998553821248054
0,0.278745175,20250904110913836,None,-12393,13.326319694519043,0,0,-1,-2,-2,2,-1,-1,1756998553836102247
0,0.27887249,20250904110913836,None,-12393,13.326319694519043,-4,-5,-1,-3,-2,-3,1,-3,1756998553836215257
0,0.286353588,20250904110913844,None,-12394,5.71127986907959,-2,-1,-3,-1,-2,-3,-3,-1,1756998553843681812
0,0.286452055,20250904110913844,None,-12394,5.71127986907959,-1,0,-3,-3,-1,0,-2,2,1756998553843843698
0,0.293750763,20250904110913851,None,-12395,13.80225944519043,-2,1,0,0,-4,-1,1,-4,1756998553851127386
0,0.293875933,20250904110913851,None,-12395,13.80225944519043,-1,-2,0,-2,-3,-2,0,-2,1756998553851261854
0,0.308803082,20250904110913866,None,-12397,12.850379943847656,1,2,-3,1,-3,-2,-1,1,1756998553866155624
0,0.308901549,20250904110913866,None,-12397,12.850379943847656,0,0,-1,1,0,4,0,3,1756998553866254568
0,0.316246987,20250904110913873,None,-12398,12.850379943847656,-1,-1,-1,0,0,-4,2,1,1756998553873656749
0,0.31635499,20250904110913873,None,-12398,12.850379943847656,-2,0,-1,-2,0,0,-1,-2,1756998553873770236
0,0.323868513,20250904110913881,None,-12398,8.09097957611084,-2,-1,-2,0,-1,1,-1,-3,1756998553881236791
0,0.323994875,20250904110913881,None,-12398,8.09097957611084,-1,1,1,1,0,1,2,0,1756998553881423950
0,0.338806629,20250904110913896,None,-12401,10.708649635314941,0,-3,0,-3,1,-3,0,-3,1756998553896155834
0,0.338927269,20250904110913896,None,-12401,10.708649635314941,-2,0,-2,1,1,0,2,-1,1756998553896288394
0,0.346208811,20250904110913903,None,-12401,7.615039825439453,-4,1,-1,1,0,-1,-1,0,1756998553903624534
0,0.346323967,20250904110913903,None,-12401,7.615039825439453,2,1,-1,-2,-1,1,-1,-1,1756998553903746366
0,0.353791714,20250904110913911,None,-12403,7.615039825439453,0,-1,0,-1,1,-1,1,1,1756998553911210775
0,0.353895187,20250904110913911,None,-12403,7.615039825439453,0,0,-2,-3,-3,-2,0,-1,1756998553911347389
0,0.368906736,20250904110913926,None,-12404,5.71127986907959,-1,-1,-1,-5,0,-2,0,-1,1756998553926170587
0,0.369048834,20250904110913926,None,-12404,5.71127986907959,0,-4,-3,0,1,-1,-2,-2,1756998553926324367
0,0.376189947,20250904110913933,None,-12405,13.564290046691895,-2,0,0,0,0,-1,-3,-1,1756998553933605194
0,0.376288653,20250904110913933,None,-12405,13.564290046691895,0,3,-1,-2,-1,-2,0,1,1756998553933725595
0,0.383981228,20250904110913941,None,-12406,5.71127986907959,-3,-2,1,2,0,-1,0,-2,1756998553941144466
0,0.384161949,20250904110913941,None,-12406,5.71127986907959,-1,-1,0,-3,2,-5,0,0,1756998553941317081
0,0.398876667,20250904110913956,None,-12408,12.850379943847656,-2,-3,1,-1,-2,-2,-2,0,1756998553956218481
0,0.398982048,20250904110913956,None,-12408,12.850379943847656,-1,0,-3,-3,-1,-4,2,-1,1756998553956422090
0,0.414427042,20250904110913972,None,-12409,10.708649635314941,-2,-2,2,-3,-4,-2,-1,1,1756998553971783638
0,0.414541245,20250904110913972,None,-12409,10.708649635314941,0,1,-3,1,6,1,2,0,1756998553971933841
